Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
458,"KX884554.1:5201-5348 Changjiang picorna-like virus 11 IRES_Cripavirus Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884554.1:5201-5348 Changjiang picorna-like virus 11 IRES_Cripavirus Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,148
476,vir_ires_00515.1,crTMV_IREScp|Crucifer tobamovirus,RF00225,Crucifer tobamovirus,,146
476,vir_ires_00515.1,crTMV_IREScp|Crucifer tobamovirus,RF00225,Crucifer tobamovirus,,146
476,vir_ires_00515.1,"U03387.1:5455-5605 Turnip vein-clearing virus IRES_Tobamo Turnip vein-clearing virus, complete genome.",RF00225,Virus,,151
476,vir_ires_00515.1,crTMV_IREScp|Crucifer tobamovirus,RF00225,Crucifer tobamovirus,,146
494,"hsa_ires_00507.1|Homo sapiens (human)|chr2:10,445,033-10,448,167-","hsa_ires_00507.1|Homo sapiens (human)|chr2:10,445,033-10,448,167-",RF02535,Homo sapiens (human),"chr2:10,445,033-10,448,167-",174
499,mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:78934754-78934924+,171
499,mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_CM000684.2:39244768-39244141 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:78934754-78934924+,171
499,mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00179.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:78934754-78934924+,171
499,mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_PDGF2/c-sis | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:78934754-78934924+,171
499,mouse_hsa_ires_00612.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00413.1 | chr15:78934754-78934924(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:78934754-78934924+,171
500,"KX883736.1:5584-5793 Hubei picorna-like virus 24 IRES_Cripavirus Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883736.1:5584-5793 Hubei picorna-like virus 24 IRES_Cripavirus Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,210
512,vir_ires_00503.1,EV71_1-748|Human enterovirus 71,RF00229,Human enterovirus 71,,748
517,BAG1_p36delta236nt|Homo sapiens,BAG1_p36delta236nt|Homo sapiens,RF00222,Homo sapiens (human),,130
517,BAG1_p36delta236nt|Homo sapiens,"hsa_ires_00596.1|Homo sapiens (human)|chr9:33,264,330-33,264,461-",RF00222,Homo sapiens (human),"chr9:33,264,330-33,264,461-",132
517,BAG1_p36delta236nt|Homo sapiens,BAG1_p36delta236nt|Homo sapiens,RF00222,Homo sapiens (human),,130
539,mouse_hsa_ires_00551.1 | chr9:105141875-105142078(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00551.1 | chr9:105141875-105142078(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr9:105141875-105142078-,204
539,mouse_hsa_ires_00551.1 | chr9:105141875-105142078(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00453.1 | chr9:105330300-105330503(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr9:105330300-105330503-,204
539,mouse_hsa_ires_00551.1 | chr9:105141875-105142078(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00277.1 | chr9:104897469-104897672(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr9:104897469-104897672-,204
540,mouse_hsa_ires_00453.1 | chr9:105287577-105287744(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00453.1 | chr9:105287577-105287744(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr9:105287577-105287744-,168
540,mouse_hsa_ires_00453.1 | chr9:105287577-105287744(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00551.1 | chr9:105099152-105099319(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr9:105099152-105099319-,168
541,mouse_hsa_ires_00670.1 | chr2:156242620-156242777(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00670.1 | chr2:156242620-156242777(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr2:156242620-156242777-,158
551,vir_ires_00411.1,vir_ires_00411.1,RF00229,Enterovirus J,,174
583,"CM000995.3:107125011-107125270 Mus musculus IRES_Kv1_4 Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J","CM000995.3:107125011-107125270 Mus musculus IRES_Kv1_4 Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J",RF00447,Mus musculus (mouse),,260
583,"CM000995.3:107125011-107125270 Mus musculus IRES_Kv1_4 Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J",mouse_CM000673.2:30012935-30012676 | chr2:107125011-107125270(+) | RF00447 | IRES_Kv1_4 | potassium-channel Kv1.4 IRES,RF00447,chr2:107125011-107125270(+),chr2:107125011-107125270+,260
585,mouse_hsa_ires_00200.1 | chr15:79868434-79869040(-) | RF00549 | IRES_c-sis | internal ribosome entry site (IRES),mouse_hsa_ires_00200.1 | chr15:79868434-79869040(-) | RF00549 | IRES_c-sis | internal ribosome entry site (IRES),RF00549,Mus musculus (mouse),chr15:79868434-79869040-,607
586,"KX883338.1:5405-5590 Beihai picorna-like virus 79 IRES_Cripavirus Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883338.1:5405-5590 Beihai picorna-like virus 79 IRES_Cripavirus Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,186
602,vir_ires_00518.1,vir_ires_00518.1,RF00229,Human poliovirus 1,,742
604,BiP_-222_-3|Homo sapiens,BiP_-222_-3|Homo sapiens,RF00223,Homo sapiens (human),,222
622,"hsa_ires_00574.1|Homo sapiens (human)|chr11:2,140,297-2,141,027-","hsa_ires_00574.1|Homo sapiens (human)|chr11:2,140,297-2,141,027-",RF00483,Homo sapiens (human),"chr11:2,140,297-2,141,027-",174
623,"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-","hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-",RF00261,Homo sapiens (human),"chr1:39,901,435-39,902,015-",217
623,"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-","CM000997.3:122889735-122889956 Mus musculus IRES_L-myc CM000997.3 Mus musculus chromosome 4, GRCm39 reference primary assembly C57BL/6J",RF00261,Mus musculus (mouse),,222
623,"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-",mouse_CM000663.2:39902015-39901795 | chr4:122889735-122889956(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,chr4:122889735-122889956(+),chr4:122889735-122889956+,222
623,"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-",mouse_hsa_ires_00606.1 | chr4:122889735-122889956(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,chr4:122889735-122889956(+),chr4:122889735-122889956+,222
623,"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-",mouse_CM000663.2:38708708-38708962 | chr4:122889735-122889956(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,chr4:122889735-122889956(+),chr4:122889735-122889956+,222
626,"CM001000.3:142214878-142214758 Mus musculus IRES_IGF2 CM001000.3 Mus musculus chromosome 7, GRCm39 reference primary assembly C57BL/6J","CM001000.3:142214878-142214758 Mus musculus IRES_IGF2 CM001000.3 Mus musculus chromosome 7, GRCm39 reference primary assembly C57BL/6J",RF00483,Mus musculus (mouse),,121
626,"CM001000.3:142214878-142214758 Mus musculus IRES_IGF2 CM001000.3 Mus musculus chromosome 7, GRCm39 reference primary assembly C57BL/6J","CM000673.2:2141059-2140939 Homo sapiens IRES_IGF2 Homo sapiens chromosome 11, GRCh38 reference primary assembly.",RF00483,Homo sapiens (human),,121
628,mouse_hsa_ires_00052.1 | chr10:16783403-16783551(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00052.1 | chr10:16783403-16783551(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr10:16783403-16783551+,149
629,"KX883654.1:5717-5927 Shahe picorna-like virus 8 IRES_Cripavirus Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883654.1:5717-5927 Shahe picorna-like virus 8 IRES_Cripavirus Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,211
644,vir_ires_00368.1,vir_ires_00368.1,RF00229,Simian enterovirus 19 (simian virus 19),,174
666,"hsa_ires_00639.1|Homo sapiens (human)|chr2:177,264,532-177,264,659-","hsa_ires_00639.1|Homo sapiens (human)|chr2:177,264,532-177,264,659-",RF02531,Homo sapiens (human),"chr2:177,264,532-177,264,659-",128
666,"hsa_ires_00639.1|Homo sapiens (human)|chr2:177,264,532-177,264,659-","CM000664.2:177264659-177264532 Homo sapiens NRF2_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.",RF02531,Homo sapiens (human),,128
669,mouse_hsa_ires_00276.1 | chr5:98312761-98312941(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00276.1 | chr5:98312761-98312941(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr5:98312761-98312941-,181
670,mouse_hsa_ires_00560.1 | chr1:157065538-157065701(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00560.1 | chr1:157065538-157065701(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr1:157065538-157065701+,164
671,mouse_hsa_ires_00031.1 | chr6:146665733-146665870(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00031.1 | chr6:146665733-146665870(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr6:146665733-146665870+,138
672,vir_ires_00376.1,vir_ires_00376.1,RF00102,Human mastadenovirus D (HAdV-D),,174
710,"hsa_ires_00608.1|Homo sapiens (human)|chr17:2,400,753-2,400,877-","hsa_ires_00608.1|Homo sapiens (human)|chr17:2,400,753-2,400,877-",RF00457,Homo sapiens (human),"chr17:2,400,753-2,400,877-",125
712,mouse_hsa_ires_00128.1 | chr10:128664423-128664568(-) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00128.1 | chr10:128664423-128664568(-) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr10:128664423-128664568-,146
712,mouse_hsa_ires_00128.1 | chr10:128664423-128664568(-) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00130.1 | chr10:129197605-129197750(-) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr10:129197605-129197750-,146
713,mouse_hsa_ires_00175.1 | chr8:116755677-116755883(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00175.1 | chr8:116755677-116755883(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr8:116755677-116755883-,207
715,HIV-1|Human Immunodeficiency Virus type 1,HIV-1|Human Immunodeficiency Virus type 1,RF00375,Human Immunodeficiency Virus type 1,,233
715,HIV-1|Human Immunodeficiency Virus type 1,vir_ires_00470.1,RF00375,Virus,,233
722,vir_ires_00489.1,vir_ires_00489.1,RF00458,Rhopalosiphum padi virus (RhPV),,175
730,vir_ires_00504.1,vir_ires_00504.1,RF00229,Human poliovirus 2,,510
731,vir_ires_00000.1,vir_ires_00000.1,RF00102,Human mastadenovirus C; Human adenovirus 2 (HAdV-C),,174
732,vir_ires_00521.1,vir_ires_00521.1,RF00376,Human immunodeficiency virus 2,,421
734,"CM000685.2:38479154-38479285 Homo sapiens IRES_Bag1 Homo sapiens chromosome X, GRCh38 reference primary assembly.","CM000685.2:38479154-38479285 Homo sapiens IRES_Bag1 Homo sapiens chromosome X, GRCh38 reference primary assembly.",RF00222,Homo sapiens (human),,132
757,"CM001003.3:56253427-56253630 Mus musculus IRES_Cx43 CM001003.3 Mus musculus chromosome 10, GRCm39 reference primary assembly C57BL/6J","CM001003.3:56253427-56253630 Mus musculus IRES_Cx43 CM001003.3 Mus musculus chromosome 10, GRCm39 reference primary assembly C57BL/6J",RF00487,Mus musculus (mouse),,204
757,"CM001003.3:56253427-56253630 Mus musculus IRES_Cx43 CM001003.3 Mus musculus chromosome 10, GRCm39 reference primary assembly C57BL/6J",mouse_CM000668.2:121435649-121435848 | chr10:56253427-56253630(+) | RF00487 | IRES_Cx43 | internal ribosome entry site (IRES),RF00487,chr10:56253427-56253630(+),chr10:56253427-56253630+,204
758,mouse_hsa_ires_00373.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00373.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr17:36109916-36110108+,193
758,mouse_hsa_ires_00373.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00118.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr17:36109916-36110108+,193
758,mouse_hsa_ires_00373.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00509.1 | chr17:36109916-36110108(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr17:36109916-36110108+,193
759,mouse_hsa_ires_00350.1 | chr10:43619546-43619634(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00350.1 | chr10:43619546-43619634(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr10:43619546-43619634-,89
760,mouse_hsa_ires_00562.1 | chr11:97231580-97231713(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00562.1 | chr11:97231580-97231713(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr11:97231580-97231713-,134
762,vir_ires_00482.1,vir_ires_00482.1,RF00228,Hepatovirus A,,590
762,vir_ires_00482.1,HAV_HM175|Human hepatitis A virus,RF00228,Human hepatitis A virus,,584
762,vir_ires_00482.1,"M14707.1:166-737 Hepatovirus A UNKNOWN-M14707 IRES_HepA Hepatitis A virus (wild-type) RNA, complete genome.",RF00228,Virus,,572
768,vir_ires_00454.1,vir_ires_00454.1,RF03546,West Nile virus (WNV),,174
800,"hsa_ires_00674.1|Homo sapiens (human)|chr11:61,967,426-61,967,637-","hsa_ires_00674.1|Homo sapiens (human)|chr11:61,967,426-61,967,637-",RF00037,Homo sapiens (human),"chr11:61,967,426-61,967,637-",212
801,"CM001013.3:5381376-5381052 Mus musculus IRES_n-myc CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J","CM001013.3:5381376-5381052 Mus musculus IRES_n-myc CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J",RF00226,Mus musculus (mouse),,325
803,mouse_c-myc | chr15:61857412-61857722(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_c-myc | chr15:61857412-61857722(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr15:61857412-61857722+,311
803,mouse_c-myc | chr15:61857412-61857722(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),"CM001008.3:61857412-61857722 Mus musculus IRES_c-myc CM001008.3 Mus musculus chromosome 15, GRCm39 reference primary assembly C57BL/6J",RF00216,Mus musculus (mouse),,311
803,mouse_c-myc | chr15:61857412-61857722(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00598.1 | chr15:61857412-61857722(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr15:61857412-61857722+,311
804,HRV-2|Human rhinovirus 2,HRV-2|Human rhinovirus 2,RF00229,Human rhinovirus 2,,604
815,vir_ires_00460.1,vir_ires_00460.1,RF00229,Human enterovirus 100 (HEV-100),,174
843,"CM001005.3:12991823-12991620 Mus musculus IRES_n-myc CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J",mouse_hsa_ires_00341.1 | chr12:12981462-12981665(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,chr12:12981462-12981665(-),chr12:12981462-12981665-,204
845,mouse_hsa_ires_00491.1 | chr9:44251276-44251410(+) | RF00457 | IRES_mnt | IRES,mouse_hsa_ires_00491.1 | chr9:44251276-44251410(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr9:44251276-44251410+,135
846,mouse_hsa_ires_00639.1 | chr2:74542146-74542262(-) | RF02531 | NRF2_IRES | internal ribosome entry site (IRES),mouse_hsa_ires_00639.1 | chr2:74542146-74542262(-) | RF02531 | NRF2_IRES | internal ribosome entry site (IRES),RF02531,Mus musculus (mouse),chr2:74542146-74542262-,117
846,mouse_hsa_ires_00639.1 | chr2:74542146-74542262(-) | RF02531 | NRF2_IRES | internal ribosome entry site (IRES),"CM000995.3:75534824-75534708 Mus musculus NRF2_IRES Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J",RF02531,Mus musculus (mouse),,117
847,mouse_CM000676.2:61695528-61695807 | chr12:73712911-73713073(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_CM000676.2:61695528-61695807 | chr12:73712911-73713073(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr12:73712911-73713073+,163
848,BQCV_IGRpred|Black queen cell virus,BQCV_IGRpred|Black queen cell virus,RF00458,Black queen cell virus,,190
848,BQCV_IGRpred|Black queen cell virus,vir_ires_00492.1,RF00458,Virus,,190
855,vir_ires_00459.1,vir_ires_00459.1,RF00229,Human enterovirus 107 (HEV-107),,174
862,vir_ires_00483.1,vir_ires_00483.1,RF00210,Equine rhinitis B virus 1 (ERBV-1),,697
865,"CM000666.2:164188235-164188416 Homo sapiens IRES_Bip Homo sapiens chromosome 4, GRCh38 reference primary assembly.","CM000666.2:164188235-164188416 Homo sapiens IRES_Bip Homo sapiens chromosome 4, GRCh38 reference primary assembly.",RF00223,Homo sapiens (human),,182
886,"hsa_ires_00644.1|Homo sapiens (human)|chr4:122,826,845-122,827,009+","hsa_ires_00644.1|Homo sapiens (human)|chr4:122,826,845-122,827,009+",RF00224,Homo sapiens (human),"chr4:122,826,845-122,827,009+",165
889,mouse_hsa_ires_00042.1 | chr9:77297295-77297424(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00042.1 | chr9:77297295-77297424(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr9:77297295-77297424+,130
889,mouse_hsa_ires_00042.1 | chr9:77297295-77297424(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00009.1 | chr9:77297295-77297424(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr9:77297295-77297424+,130
890,mouse_hsa_ires_00486.1 | chr8:119101893-119101984(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00486.1 | chr8:119101893-119101984(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr8:119101893-119101984-,92
902,vir_ires_00481.1,vir_ires_00481.1,RF00210,Encephalomyocarditis virus (EMCV),,419
902,vir_ires_00481.1,"M81861.1:374-830 Encephalomyocarditis virus Ruckert IRES_Picorna_2 Encephalomyocarditis virus polyprotein, complete cds.",RF00210,Virus,,457
942,vir_ires_00118.1,vir_ires_00118.1,RF00102,Human mastadenovirus A,,174
971,mouse_hsa_ires_00599.1 | chr15:98402262-98402443(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00599.1 | chr15:98402262-98402443(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr15:98402262-98402443+,182
972,"AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.","AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.",RF00061,Virus,,353
972,"AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.",HCV_type_1a|Hepatitis C virus,RF00061,Hepatitis C virus,,383
990,"CM000669.2:129028750-129028891 Homo sapiens ODC_IRES Homo sapiens chromosome 7, GRCh38 reference primary assembly.","CM000669.2:129028750-129028891 Homo sapiens ODC_IRES Homo sapiens chromosome 7, GRCh38 reference primary assembly.",RF02535,Homo sapiens (human),,142
1015,mouse_hsa_ires_00347.1 | chr6:91690058-91690159(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00347.1 | chr6:91690058-91690159(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr6:91690058-91690159+,102
1016,mouse_hsa_ires_00315.1 | chr2:34547521-34547676(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00315.1 | chr2:34547521-34547676(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:34547521-34547676-,156
1017,"AF308157.1:595-1057 Foot-and-mouth disease virus - type O  IRES_Picorna_2 Foot-and-mouth disease virus, complete genome.","AF308157.1:595-1057 Foot-and-mouth disease virus - type O  IRES_Picorna_2 Foot-and-mouth disease virus, complete genome.",RF00210,Virus,,463
1031,vir_ires_00174.1,vir_ires_00174.1,RF00229,Rhinovirus A,,174
1060,X96871.1:402-893 Equine rhinitis B virus 1 P1436 /71 IRES_Picorna_2 Equine Rhinovirus type 2 genomic sequence,X96871.1:402-893 Equine rhinitis B virus 1 P1436 /71 IRES_Picorna_2 Equine Rhinovirus type 2 genomic sequence,RF00210,Virus,,492
1066,vir_ires_00273.1,vir_ires_00273.1,RF00210,Foot-and-mouth disease virus - type SAT 2 (FMDV-SAT2),,174
1076,"CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.","CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.",RF00487,Homo sapiens (human),,199
1076,"CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.","CM000668.2:121435649-121435848 Homo sapiens IRES_Cx43 Homo sapiens chromosome 6, GRCh38 reference primary assembly.",RF00487,Homo sapiens (human),,200
1109,vir_ires_00472.1,vir_ires_00472.1,RF00209,Classical swine fever virus (CSFV),,334
1136,"hsa_ires_00586.1|Homo sapiens (human)|chr2:15,941,965-15,942,064+","hsa_ires_00586.1|Homo sapiens (human)|chr2:15,941,965-15,942,064+",RF00226,Homo sapiens (human),"chr2:15,941,965-15,942,064+",100
1141,mouse_hsa_ires_00416.1 | chr6:82743830-82743966(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00416.1 | chr6:82743830-82743966(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr6:82743830-82743966-,137
1141,mouse_hsa_ires_00416.1 | chr6:82743830-82743966(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00207.1 | chr6:82967561-82967697(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr6:82967561-82967697-,137
1142,mouse_hsa_ires_00252.1 | chr1:166831103-166831128(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00252.1 | chr1:166831103-166831128(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr1:166831103-166831128+,26
1154,vir_ires_00498.1,vir_ires_00498.1,RF00210,Foot-and-mouth disease virus - type A (FMDV-A),,432
1159,"CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly.","CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly.",RF00387,Homo sapiens (human),,167
1175,"hsa_ires_00459.1|Homo sapiens (human)|chr18:49,491,572-49,491,745-","hsa_ires_00459.1|Homo sapiens (human)|chr18:49,491,572-49,491,745-",RF00151,Homo sapiens (human),"chr18:49,491,572-49,491,745-",174
1182,HIF1a|Mus musculus,HIF1a|Mus musculus,RF00449,Mus musculus (mouse),,257
1182,HIF1a|Mus musculus,mouse_CM000676.2:61695528-61695807 | chr12:73954790-73955066(+) | RF00449 | IRES_HIF1 | alpha IRES,RF00449,Mus musculus (mouse),chr12:73954790-73955066+,277
1184,mouse_hsa_ires_00016.1 | chr17:25223657-25223721(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00016.1 | chr17:25223657-25223721(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr17:25223657-25223721+,65
1185,mouse_hsa_ires_00387.1 | chr11:88361348-88361507(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00387.1 | chr11:88361348-88361507(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr11:88361348-88361507+,160
