Representative	Member	RFAM	Organism	Location	Length
hsa_ires_00074.1|Homo sapiens (human)|chr5:139,389,743-139,389,916-	hsa_ires_00074.1|Homo sapiens (human)|chr5:139,389,743-139,389,916-		Homo sapiens (human)	chr5:139,389,743-139,389,916-	174
hsa_ires_00075.1|Homo sapiens (human)|chr5:134,758,771-134,758,944+	hsa_ires_00075.1|Homo sapiens (human)|chr5:134,758,771-134,758,944+		Homo sapiens (human)	chr5:134,758,771-134,758,944+	174
hsa_ires_00076.1|Homo sapiens (human)|chr3:159,273,647-159,273,820+	hsa_ires_00076.1|Homo sapiens (human)|chr3:159,273,647-159,273,820+		Homo sapiens (human)	chr3:159,273,647-159,273,820+	174
hsa_ires_00077.1|Homo sapiens (human)|chr4:38,775,549-38,782,990-	hsa_ires_00077.1|Homo sapiens (human)|chr4:38,775,549-38,782,990-		Homo sapiens (human)	chr4:38,775,549-38,782,990-	174
hsa_ires_00078.1|Homo sapiens (human)|chr16:89,919,085-89,919,258+	hsa_ires_00078.1|Homo sapiens (human)|chr16:89,919,085-89,919,258+		Homo sapiens (human)	chr16:89,919,085-89,919,258+	174
hsa_ires_00079.1|Homo sapiens (human)|chr14:101,561,351-101,561,524+	hsa_ires_00079.1|Homo sapiens (human)|chr14:101,561,351-101,561,524+		Homo sapiens (human)	chr14:101,561,351-101,561,524+	174
hsa_ires_00080.1|Homo sapiens (human)|chrX:154,305,164-154,305,337+	hsa_ires_00080.1|Homo sapiens (human)|chrX:154,305,164-154,305,337+		Homo sapiens (human)	chrX:154,305,164-154,305,337+	174
hsa_ires_00081.1|Homo sapiens (human)|chr8:144,890,045-144,901,461-	hsa_ires_00081.1|Homo sapiens (human)|chr8:144,890,045-144,901,461-		Homo sapiens (human)	chr8:144,890,045-144,901,461-	174
hsa_ires_00082.1|Homo sapiens (human)|chr15:72,219,098-72,231,276-	hsa_ires_00082.1|Homo sapiens (human)|chr15:72,219,098-72,231,276-		Homo sapiens (human)	chr15:72,219,098-72,231,276-	174
hsa_ires_00083.1|Homo sapiens (human)|chr7:101,629,119-101,629,292-	hsa_ires_00083.1|Homo sapiens (human)|chr7:101,629,119-101,629,292-		Homo sapiens (human)	chr7:101,629,119-101,629,292-	174
hsa_ires_00084.1|Homo sapiens (human)|chr12:57,048,324-57,050,040-	hsa_ires_00084.1|Homo sapiens (human)|chr12:57,048,324-57,050,040-		Homo sapiens (human)	chr12:57,048,324-57,050,040-	174
hsa_ires_00085.1|Homo sapiens (human)|chr15:82,571,498-82,571,671-	hsa_ires_00085.1|Homo sapiens (human)|chr15:82,571,498-82,571,671-		Homo sapiens (human)	chr15:82,571,498-82,571,671-	174
hsa_ires_00086.1|Homo sapiens (human)|chr10:35,167,552-35,167,725+	hsa_ires_00086.1|Homo sapiens (human)|chr10:35,167,552-35,167,725+		Homo sapiens (human)	chr10:35,167,552-35,167,725+	174
hsa_ires_00087.1|Homo sapiens (human)|chr17:7,675,216-7,675,389-	hsa_ires_00087.1|Homo sapiens (human)|chr17:7,675,216-7,675,389-		Homo sapiens (human)	chr17:7,675,216-7,675,389-	174
hsa_ires_00088.1|Homo sapiens (human)|chr19:18,269,479-18,274,467-	hsa_ires_00088.1|Homo sapiens (human)|chr19:18,269,479-18,274,467-		Homo sapiens (human)	chr19:18,269,479-18,274,467-	174
hsa_ires_00089.1|Homo sapiens (human)|chr1:77,978,920-77,979,093-	hsa_ires_00089.1|Homo sapiens (human)|chr1:77,978,920-77,979,093-		Homo sapiens (human)	chr1:77,978,920-77,979,093-	174
hsa_ires_00090.1|Homo sapiens (human)|chr11:118,893,506-118,893,679+	hsa_ires_00090.1|Homo sapiens (human)|chr11:118,893,506-118,893,679+		Homo sapiens (human)	chr11:118,893,506-118,893,679+	174
hsa_ires_00091.1|Homo sapiens (human)|chr17:78,126,800-78,132,407-	hsa_ires_00091.1|Homo sapiens (human)|chr17:78,126,800-78,132,407-		Homo sapiens (human)	chr17:78,126,800-78,132,407-	174
hsa_ires_00092.1|Homo sapiens (human)|chr1:25,820,916-25,823,104+	hsa_ires_00092.1|Homo sapiens (human)|chr1:25,820,916-25,823,104+		Homo sapiens (human)	chr1:25,820,916-25,823,104+	174
hsa_ires_00093.1|Homo sapiens (human)|chr16:24,846,289-24,858,643+	hsa_ires_00093.1|Homo sapiens (human)|chr16:24,846,289-24,858,643+		Homo sapiens (human)	chr16:24,846,289-24,858,643+	174
hsa_ires_00094.1|Homo sapiens (human)|chr17:44,187,682-44,189,046+	hsa_ires_00094.1|Homo sapiens (human)|chr17:44,187,682-44,189,046+		Homo sapiens (human)	chr17:44,187,682-44,189,046+	174
hsa_ires_00095.1|Homo sapiens (human)|chr1:45,551,116-45,561,794+	hsa_ires_00095.1|Homo sapiens (human)|chr1:45,551,116-45,561,794+		Homo sapiens (human)	chr1:45,551,116-45,561,794+	174
hsa_ires_00096.1|Homo sapiens (human)|chr19:55,368,513-55,370,420-	hsa_ires_00096.1|Homo sapiens (human)|chr19:55,368,513-55,370,420-		Homo sapiens (human)	chr19:55,368,513-55,370,420-	174
hsa_ires_00097.1|Homo sapiens (human)|chr4:94,207,946-94,208,394+	hsa_ires_00097.1|Homo sapiens (human)|chr4:94,207,946-94,208,394+		Homo sapiens (human)	chr4:94,207,946-94,208,394+	174
hsa_ires_00098.1|Homo sapiens (human)|chr1:109,114,010-109,114,183+	hsa_ires_00098.1|Homo sapiens (human)|chr1:109,114,010-109,114,183+		Homo sapiens (human)	chr1:109,114,010-109,114,183+	174
hsa_ires_00099.1|Homo sapiens (human)|chr1:25,903,805-25,906,877-	hsa_ires_00099.1|Homo sapiens (human)|chr1:25,903,805-25,906,877-		Homo sapiens (human)	chr1:25,903,805-25,906,877-	174
hsa_ires_00100.1|Homo sapiens (human)|chr12:110,124,709-110,127,380+	hsa_ires_00100.1|Homo sapiens (human)|chr12:110,124,709-110,127,380+		Homo sapiens (human)	chr12:110,124,709-110,127,380+	174
hsa_ires_00101.1|Homo sapiens (human)|chr14:77,457,318-77,457,491-	hsa_ires_00101.1|Homo sapiens (human)|chr14:77,457,318-77,457,491-		Homo sapiens (human)	chr14:77,457,318-77,457,491-	174
hsa_ires_00102.1|Homo sapiens (human)|chr5:42,565,701-42,565,874+	hsa_ires_00102.1|Homo sapiens (human)|chr5:42,565,701-42,565,874+		Homo sapiens (human)	chr5:42,565,701-42,565,874+	174
hsa_ires_00103.1|Homo sapiens (human)|chr12:23,896,015-23,951,032-	hsa_ires_00103.1|Homo sapiens (human)|chr12:23,896,015-23,951,032-		Homo sapiens (human)	chr12:23,896,015-23,951,032-	174
hsa_ires_00104.1|Homo sapiens (human)|chr22:21,549,447-21,549,620+	hsa_ires_00104.1|Homo sapiens (human)|chr22:21,549,447-21,549,620+		Homo sapiens (human)	chr22:21,549,447-21,549,620+	174
hsa_ires_00105.1|Homo sapiens (human)|chr4:121,164,126-121,164,299-	hsa_ires_00105.1|Homo sapiens (human)|chr4:121,164,126-121,164,299-		Homo sapiens (human)	chr4:121,164,126-121,164,299-	174
hsa_ires_00106.1|Homo sapiens (human)|chr19:13,116,400-13,116,573-	hsa_ires_00106.1|Homo sapiens (human)|chr19:13,116,400-13,116,573-		Homo sapiens (human)	chr19:13,116,400-13,116,573-	174
hsa_ires_00107.1|Homo sapiens (human)|chr3:44,712,724-44,720,261+	hsa_ires_00107.1|Homo sapiens (human)|chr3:44,712,724-44,720,261+		Homo sapiens (human)	chr3:44,712,724-44,720,261+	174
hsa_ires_00108.1|Homo sapiens (human)|chr11:108,197,386-108,222,638-	hsa_ires_00108.1|Homo sapiens (human)|chr11:108,197,386-108,222,638-		Homo sapiens (human)	chr11:108,197,386-108,222,638-	174
hsa_ires_00109.1|Homo sapiens (human)|chr11:119,087,987-119,088,662+	hsa_ires_00109.1|Homo sapiens (human)|chr11:119,087,987-119,088,662+		Homo sapiens (human)	chr11:119,087,987-119,088,662+	174
hsa_ires_00110.1|Homo sapiens (human)|chr12:56,645,895-56,646,068-	hsa_ires_00110.1|Homo sapiens (human)|chr12:56,645,895-56,646,068-		Homo sapiens (human)	chr12:56,645,895-56,646,068-	174
hsa_ires_00111.1|Homo sapiens (human)|chr16:29,662,950-29,663,737+	hsa_ires_00111.1|Homo sapiens (human)|chr16:29,662,950-29,663,737+		Homo sapiens (human)	chr16:29,662,950-29,663,737+	174
hsa_ires_00112.1|Homo sapiens (human)|chr1:28,887,091-28,987,484+	hsa_ires_00112.1|Homo sapiens (human)|chr1:28,887,091-28,987,484+		Homo sapiens (human)	chr1:28,887,091-28,987,484+	174
hsa_ires_00113.1|Homo sapiens (human)|chr10:79,946,529-79,949,105-	hsa_ires_00113.1|Homo sapiens (human)|chr10:79,946,529-79,949,105-		Homo sapiens (human)	chr10:79,946,529-79,949,105-	174
hsa_ires_00114.1|Homo sapiens (human)|chr21:43,095,724-43,104,334-	hsa_ires_00114.1|Homo sapiens (human)|chr21:43,095,724-43,104,334-		Homo sapiens (human)	chr21:43,095,724-43,104,334-	174
hsa_ires_00115.1|Homo sapiens (human)|chr2:219,158,335-219,160,865-	hsa_ires_00115.1|Homo sapiens (human)|chr2:219,158,335-219,160,865-		Homo sapiens (human)	chr2:219,158,335-219,160,865-	174
hsa_ires_00116.1|Homo sapiens (human)|chr3:183,099,404-183,099,577-	hsa_ires_00116.1|Homo sapiens (human)|chr3:183,099,404-183,099,577-		Homo sapiens (human)	chr3:183,099,404-183,099,577-	174
hsa_ires_00117.1|Homo sapiens (human)|chr19:40,442,081-40,442,494-	hsa_ires_00117.1|Homo sapiens (human)|chr19:40,442,081-40,442,494-		Homo sapiens (human)	chr19:40,442,081-40,442,494-	174
hsa_ires_00118.1|Homo sapiens (human)|chr6:30,112,742-30,113,090-	hsa_ires_00118.1|Homo sapiens (human)|chr6:30,112,742-30,113,090-		Homo sapiens (human)	chr6:30,112,742-30,113,090-	174
hsa_ires_00119.1|Homo sapiens (human)|chr20:33,168,154-33,169,248+	hsa_ires_00119.1|Homo sapiens (human)|chr20:33,168,154-33,169,248+		Homo sapiens (human)	chr20:33,168,154-33,169,248+	174
hsa_ires_00120.1|Homo sapiens (human)|chr12:89,497,317-89,525,267-	hsa_ires_00120.1|Homo sapiens (human)|chr12:89,497,317-89,525,267-		Homo sapiens (human)	chr12:89,497,317-89,525,267-	174
hsa_ires_00121.1|Homo sapiens (human)|chr7:94,004,205-94,004,378-	hsa_ires_00121.1|Homo sapiens (human)|chr7:94,004,205-94,004,378-		Homo sapiens (human)	chr7:94,004,205-94,004,378-	174
hsa_ires_00122.1|Homo sapiens (human)|chr3:46,863,310-46,863,483-	hsa_ires_00122.1|Homo sapiens (human)|chr3:46,863,310-46,863,483-		Homo sapiens (human)	chr3:46,863,310-46,863,483-	174
hsa_ires_00123.1|Homo sapiens (human)|chr8:92,017,341-92,017,514-	hsa_ires_00123.1|Homo sapiens (human)|chr8:92,017,341-92,017,514-		Homo sapiens (human)	chr8:92,017,341-92,017,514-	174
hsa_ires_00124.1|Homo sapiens (human)|chr17:41,624,457-41,624,630-	hsa_ires_00124.1|Homo sapiens (human)|chr17:41,624,457-41,624,630-		Homo sapiens (human)	chr17:41,624,457-41,624,630-	174
hsa_ires_00125.1|Homo sapiens (human)|chr16:69,626,446-69,647,056+	hsa_ires_00125.1|Homo sapiens (human)|chr16:69,626,446-69,647,056+		Homo sapiens (human)	chr16:69,626,446-69,647,056+	174
hsa_ires_00126.1|Homo sapiens (human)|chrX:102,248,438-102,307,078+	hsa_ires_00126.1|Homo sapiens (human)|chrX:102,248,438-102,307,078+		Homo sapiens (human)	chrX:102,248,438-102,307,078+	174
hsa_ires_00127.1|Homo sapiens (human)|chr2:79,025,711-79,026,093+	hsa_ires_00127.1|Homo sapiens (human)|chr2:79,025,711-79,026,093+		Homo sapiens (human)	chr2:79,025,711-79,026,093+	174
hsa_ires_00128.1|Homo sapiens (human)|chr12:55,331,701-55,331,874+	hsa_ires_00128.1|Homo sapiens (human)|chr12:55,331,701-55,331,874+		Homo sapiens (human)	chr12:55,331,701-55,331,874+	174
hsa_ires_00129.1|Homo sapiens (human)|chr19:53,014,091-53,014,264+	hsa_ires_00129.1|Homo sapiens (human)|chr19:53,014,091-53,014,264+		Homo sapiens (human)	chr19:53,014,091-53,014,264+	174
hsa_ires_00130.1|Homo sapiens (human)|chr12:55,365,111-55,365,284+	hsa_ires_00130.1|Homo sapiens (human)|chr12:55,365,111-55,365,284+		Homo sapiens (human)	chr12:55,365,111-55,365,284+	174
hsa_ires_00131.1|Homo sapiens (human)|chr1:158,479,878-158,480,051+	hsa_ires_00131.1|Homo sapiens (human)|chr1:158,479,878-158,480,051+		Homo sapiens (human)	chr1:158,479,878-158,480,051+	174
hsa_ires_00132.1|Homo sapiens (human)|chr19:9,103,133-9,103,306-	hsa_ires_00132.1|Homo sapiens (human)|chr19:9,103,133-9,103,306-		Homo sapiens (human)	chr19:9,103,133-9,103,306-	174
hsa_ires_00133.1|Homo sapiens (human)|chr8:56,211,756-56,216,454+	hsa_ires_00133.1|Homo sapiens (human)|chr8:56,211,756-56,216,454+		Homo sapiens (human)	chr8:56,211,756-56,216,454+	174
hsa_ires_00134.1|Homo sapiens (human)|chr1:248,593,595-248,593,768-	hsa_ires_00134.1|Homo sapiens (human)|chr1:248,593,595-248,593,768-		Homo sapiens (human)	chr1:248,593,595-248,593,768-	174
hsa_ires_00135.1|Homo sapiens (human)|chr7:129,368,321-129,368,494+	hsa_ires_00135.1|Homo sapiens (human)|chr7:129,368,321-129,368,494+		Homo sapiens (human)	chr7:129,368,321-129,368,494+	174
hsa_ires_00136.1|Homo sapiens (human)|chr11:57,789,076-57,791,478+	hsa_ires_00136.1|Homo sapiens (human)|chr11:57,789,076-57,791,478+		Homo sapiens (human)	chr11:57,789,076-57,791,478+	174
hsa_ires_00137.1|Homo sapiens (human)|chr3:98,132,698-98,132,871+	hsa_ires_00137.1|Homo sapiens (human)|chr3:98,132,698-98,132,871+		Homo sapiens (human)	chr3:98,132,698-98,132,871+	174
hsa_ires_00138.1|Homo sapiens (human)|chr19:51,341,874-51,342,124-	hsa_ires_00138.1|Homo sapiens (human)|chr19:51,341,874-51,342,124-		Homo sapiens (human)	chr19:51,341,874-51,342,124-	174
hsa_ires_00139.1|Homo sapiens (human)|chr1:158,766,509-158,766,682-	hsa_ires_00139.1|Homo sapiens (human)|chr1:158,766,509-158,766,682-		Homo sapiens (human)	chr1:158,766,509-158,766,682-	174
hsa_ires_00140.1|Homo sapiens (human)|chr1:247,841,723-247,841,896-	hsa_ires_00140.1|Homo sapiens (human)|chr1:247,841,723-247,841,896-		Homo sapiens (human)	chr1:247,841,723-247,841,896-	174
hsa_ires_00141.1|Homo sapiens (human)|chr7:143,222,079-143,222,252+	hsa_ires_00141.1|Homo sapiens (human)|chr7:143,222,079-143,222,252+		Homo sapiens (human)	chr7:143,222,079-143,222,252+	174
hsa_ires_00143.1|Homo sapiens (human)|chr1:248,145,148-248,145,321+	hsa_ires_00143.1|Homo sapiens (human)|chr1:248,145,148-248,145,321+		Homo sapiens (human)	chr1:248,145,148-248,145,321+	174
hsa_ires_00143.1|Homo sapiens (human)|chr1:248,145,148-248,145,321+	hsa_ires_00143.1|Homo sapiens (human)|chr1:248,145,148-248,145,321+		Homo sapiens (human)	chr1:248,145,148-248,145,321+	174
hsa_ires_00144.1|Homo sapiens (human)|chr3:98,469,577-98,469,750+	hsa_ires_00144.1|Homo sapiens (human)|chr3:98,469,577-98,469,750+		Homo sapiens (human)	chr3:98,469,577-98,469,750+	174
hsa_ires_00145.1|Homo sapiens (human)|chr3:198,152,366-198,153,224+	hsa_ires_00145.1|Homo sapiens (human)|chr3:198,152,366-198,153,224+		Homo sapiens (human)	chr3:198,152,366-198,153,224+	174
hsa_ires_00148.1|Homo sapiens (human)|chr12:54,384,515-54,384,688-	hsa_ires_00148.1|Homo sapiens (human)|chr12:54,384,515-54,384,688-		Homo sapiens (human)	chr12:54,384,515-54,384,688-	174
hsa_ires_00149.1|Homo sapiens (human)|chr11:55,554,307-55,554,480+	hsa_ires_00149.1|Homo sapiens (human)|chr11:55,554,307-55,554,480+		Homo sapiens (human)	chr11:55,554,307-55,554,480+	174
hsa_ires_00150.1|Homo sapiens (human)|chr21:42,201,615-42,225,694+	hsa_ires_00150.1|Homo sapiens (human)|chr21:42,201,615-42,225,694+		Homo sapiens (human)	chr21:42,201,615-42,225,694+	174
hsa_ires_00151.1|Homo sapiens (human)|chr1:153,544,690-153,545,806-	hsa_ires_00151.1|Homo sapiens (human)|chr1:153,544,690-153,545,806-		Homo sapiens (human)	chr1:153,544,690-153,545,806-	174
hsa_ires_00152.1|Homo sapiens (human)|chr14:39,175,183-39,175,356+	hsa_ires_00152.1|Homo sapiens (human)|chr14:39,175,183-39,175,356+		Homo sapiens (human)	chr14:39,175,183-39,175,356+	174
hsa_ires_00153.1|Homo sapiens (human)|chr5:178,153,787-178,153,960-	hsa_ires_00153.1|Homo sapiens (human)|chr5:178,153,787-178,153,960-		Homo sapiens (human)	chr5:178,153,787-178,153,960-	174
hsa_ires_00154.1|Homo sapiens (human)|chr2:113,127,561-113,127,734+	hsa_ires_00154.1|Homo sapiens (human)|chr2:113,127,561-113,127,734+		Homo sapiens (human)	chr2:113,127,561-113,127,734+	174
hsa_ires_00155.1|Homo sapiens (human)|chr3:71,198,382-71,493,432-	hsa_ires_00155.1|Homo sapiens (human)|chr3:71,198,382-71,493,432-		Homo sapiens (human)	chr3:71,198,382-71,493,432-	174
hsa_ires_00156.1|Homo sapiens (human)|chr1:7,850,893-7,853,044-	hsa_ires_00156.1|Homo sapiens (human)|chr1:7,850,893-7,853,044-		Homo sapiens (human)	chr1:7,850,893-7,853,044-	174
hsa_ires_00157.1|Homo sapiens (human)|chrX:47,144,680-47,144,853-	hsa_ires_00157.1|Homo sapiens (human)|chrX:47,144,680-47,144,853-		Homo sapiens (human)	chrX:47,144,680-47,144,853-	174
hsa_ires_00158.1|Homo sapiens (human)|chr5:141,476,002-141,494,835+	hsa_ires_00158.1|Homo sapiens (human)|chr5:141,476,002-141,494,835+		Homo sapiens (human)	chr5:141,476,002-141,494,835+	174
hsa_ires_00159.1|Homo sapiens (human)|chr10:104,275,129-104,275,302+	hsa_ires_00159.1|Homo sapiens (human)|chr10:104,275,129-104,275,302+		Homo sapiens (human)	chr10:104,275,129-104,275,302+	174
hsa_ires_00160.1|Homo sapiens (human)|chr12:6,200,326-6,200,499+	hsa_ires_00160.1|Homo sapiens (human)|chr12:6,200,326-6,200,499+		Homo sapiens (human)	chr12:6,200,326-6,200,499+	174
hsa_ires_00161.1|Homo sapiens (human)|chr7:105,268,844-105,269,017-	hsa_ires_00161.1|Homo sapiens (human)|chr7:105,268,844-105,269,017-		Homo sapiens (human)	chr7:105,268,844-105,269,017-	174
hsa_ires_00162.1|Homo sapiens (human)|chr12:56,636,186-56,636,359-	hsa_ires_00162.1|Homo sapiens (human)|chr12:56,636,186-56,636,359-		Homo sapiens (human)	chr12:56,636,186-56,636,359-	174
hsa_ires_00163.1|Homo sapiens (human)|chr4:56,656,001-56,656,461-	hsa_ires_00163.1|Homo sapiens (human)|chr4:56,656,001-56,656,461-		Homo sapiens (human)	chr4:56,656,001-56,656,461-	174
hsa_ires_00164.1|Homo sapiens (human)|chr1:91,501,193-91,501,716+	hsa_ires_00164.1|Homo sapiens (human)|chr1:91,501,193-91,501,716+		Homo sapiens (human)	chr1:91,501,193-91,501,716+	174
hsa_ires_00165.1|Homo sapiens (human)|chr11:18,396,374-18,396,547+	hsa_ires_00165.1|Homo sapiens (human)|chr11:18,396,374-18,396,547+		Homo sapiens (human)	chr11:18,396,374-18,396,547+	174
hsa_ires_00166.1|Homo sapiens (human)|chr8:84,183,460-84,529,321+	hsa_ires_00166.1|Homo sapiens (human)|chr8:84,183,460-84,529,321+		Homo sapiens (human)	chr8:84,183,460-84,529,321+	174
hsa_ires_00167.1|Homo sapiens (human)|chr17:43,545,572-43,545,937-	hsa_ires_00167.1|Homo sapiens (human)|chr17:43,545,572-43,545,937-		Homo sapiens (human)	chr17:43,545,572-43,545,937-	174
hsa_ires_00168.1|Homo sapiens (human)|chr11:59,107,254-59,109,625+	hsa_ires_00168.1|Homo sapiens (human)|chr11:59,107,254-59,109,625+		Homo sapiens (human)	chr11:59,107,254-59,109,625+	174
hsa_ires_00169.1|Homo sapiens (human)|chr22:17,743,936-17,774,665-	hsa_ires_00169.1|Homo sapiens (human)|chr22:17,743,936-17,774,665-		Homo sapiens (human)	chr22:17,743,936-17,774,665-	174
hsa_ires_00170.1|Homo sapiens (human)|chr12:52,493,189-52,493,362-	hsa_ires_00170.1|Homo sapiens (human)|chr12:52,493,189-52,493,362-		Homo sapiens (human)	chr12:52,493,189-52,493,362-	174
hsa_ires_00171.1|Homo sapiens (human)|chr2:27,583,685-27,598,208+	hsa_ires_00171.1|Homo sapiens (human)|chr2:27,583,685-27,598,208+		Homo sapiens (human)	chr2:27,583,685-27,598,208+	174
hsa_ires_00172.1|Homo sapiens (human)|chr11:102,114,183-102,114,356+	hsa_ires_00172.1|Homo sapiens (human)|chr11:102,114,183-102,114,356+		Homo sapiens (human)	chr11:102,114,183-102,114,356+	174
hsa_ires_00173.1|Homo sapiens (human)|chr17:59,155,637-59,169,752+	hsa_ires_00173.1|Homo sapiens (human)|chr17:59,155,637-59,169,752+		Homo sapiens (human)	chr17:59,155,637-59,169,752+	174
hsa_ires_00174.1|Homo sapiens (human)|chr10:60,572,528-60,572,701-	hsa_ires_00174.1|Homo sapiens (human)|chr10:60,572,528-60,572,701-		Homo sapiens (human)	chr10:60,572,528-60,572,701-	174
hsa_ires_00175.1|Homo sapiens (human)|chr16:80,540,957-80,543,326+	hsa_ires_00175.1|Homo sapiens (human)|chr16:80,540,957-80,543,326+		Homo sapiens (human)	chr16:80,540,957-80,543,326+	174
hsa_ires_00176.1|Homo sapiens (human)|chr6:155,090,323-155,129,223+	hsa_ires_00176.1|Homo sapiens (human)|chr6:155,090,323-155,129,223+		Homo sapiens (human)	chr6:155,090,323-155,129,223+	174
hsa_ires_00177.1|Homo sapiens (human)|chr14:94,383,238-94,390,522-	hsa_ires_00177.1|Homo sapiens (human)|chr14:94,383,238-94,390,522-		Homo sapiens (human)	chr14:94,383,238-94,390,522-	174
hsa_ires_00178.1|Homo sapiens (human)|chr14:39,267,416-39,279,471+	hsa_ires_00178.1|Homo sapiens (human)|chr14:39,267,416-39,279,471+		Homo sapiens (human)	chr14:39,267,416-39,279,471+	174
hsa_ires_00179.1|Homo sapiens (human)|chr22:38,110,496-38,110,669-	hsa_ires_00179.1|Homo sapiens (human)|chr22:38,110,496-38,110,669-		Homo sapiens (human)	chr22:38,110,496-38,110,669-	174
hsa_ires_00180.1|Homo sapiens (human)|chr14:73,896,532-73,898,241+	hsa_ires_00180.1|Homo sapiens (human)|chr14:73,896,532-73,898,241+		Homo sapiens (human)	chr14:73,896,532-73,898,241+	174
hsa_ires_00181.1|Homo sapiens (human)|chr17:49,622,811-49,677,988-	hsa_ires_00181.1|Homo sapiens (human)|chr17:49,622,811-49,677,988-		Homo sapiens (human)	chr17:49,622,811-49,677,988-	174
hsa_ires_00182.1|Homo sapiens (human)|chr12:9,971,423-9,971,596+	hsa_ires_00182.1|Homo sapiens (human)|chr12:9,971,423-9,971,596+		Homo sapiens (human)	chr12:9,971,423-9,971,596+	174
hsa_ires_00183.1|Homo sapiens (human)|chr11:72,080,768-72,088,352+	hsa_ires_00183.1|Homo sapiens (human)|chr11:72,080,768-72,088,352+		Homo sapiens (human)	chr11:72,080,768-72,088,352+	174
hsa_ires_00184.1|Homo sapiens (human)|chr6:26,056,298-26,056,471-	hsa_ires_00184.1|Homo sapiens (human)|chr6:26,056,298-26,056,471-		Homo sapiens (human)	chr6:26,056,298-26,056,471-	174
hsa_ires_00185.1|Homo sapiens (human)|chrX:111,681,345-111,682,225+	hsa_ires_00185.1|Homo sapiens (human)|chrX:111,681,345-111,682,225+		Homo sapiens (human)	chrX:111,681,345-111,682,225+	174
hsa_ires_00186.1|Homo sapiens (human)|chr2:218,660,094-218,660,987+	hsa_ires_00186.1|Homo sapiens (human)|chr2:218,660,094-218,660,987+		Homo sapiens (human)	chr2:218,660,094-218,660,987+	174
hsa_ires_00187.1|Homo sapiens (human)|chr1:45,623,886-45,624,059-	hsa_ires_00187.1|Homo sapiens (human)|chr1:45,623,886-45,624,059-		Homo sapiens (human)	chr1:45,623,886-45,624,059-	174
hsa_ires_00188.1|Homo sapiens (human)|chr20:57,524,206-57,524,379-	hsa_ires_00188.1|Homo sapiens (human)|chr20:57,524,206-57,524,379-		Homo sapiens (human)	chr20:57,524,206-57,524,379-	174
hsa_ires_00189.1|Homo sapiens (human)|chr7:100,219,737-100,219,910+	hsa_ires_00189.1|Homo sapiens (human)|chr7:100,219,737-100,219,910+		Homo sapiens (human)	chr7:100,219,737-100,219,910+	174
hsa_ires_00190.1|Homo sapiens (human)|chr12:31,659,302-31,661,953+	hsa_ires_00190.1|Homo sapiens (human)|chr12:31,659,302-31,661,953+		Homo sapiens (human)	chr12:31,659,302-31,661,953+	174
hsa_ires_00191.1|Homo sapiens (human)|chr16:67,943,204-67,944,112-	hsa_ires_00191.1|Homo sapiens (human)|chr16:67,943,204-67,944,112-		Homo sapiens (human)	chr16:67,943,204-67,944,112-	174
hsa_ires_00192.1|Homo sapiens (human)|chr21:32,794,422-32,810,608-	hsa_ires_00192.1|Homo sapiens (human)|chr21:32,794,422-32,810,608-		Homo sapiens (human)	chr21:32,794,422-32,810,608-	174
hsa_ires_00193.1|Homo sapiens (human)|chr19:41,687,114-41,688,167-	hsa_ires_00193.1|Homo sapiens (human)|chr19:41,687,114-41,688,167-		Homo sapiens (human)	chr19:41,687,114-41,688,167-	174
hsa_ires_00194.1|Homo sapiens (human)|chr8:118,111,047-118,111,220-	hsa_ires_00194.1|Homo sapiens (human)|chr8:118,111,047-118,111,220-		Homo sapiens (human)	chr8:118,111,047-118,111,220-	174
hsa_ires_00195.1|Homo sapiens (human)|chr4:24,584,388-24,584,561-	hsa_ires_00195.1|Homo sapiens (human)|chr4:24,584,388-24,584,561-		Homo sapiens (human)	chr4:24,584,388-24,584,561-	174
hsa_ires_00196.1|Homo sapiens (human)|chr11:828,434-828,607+	hsa_ires_00196.1|Homo sapiens (human)|chr11:828,434-828,607+		Homo sapiens (human)	chr11:828,434-828,607+	174
hsa_ires_00197.1|Homo sapiens (human)|chr12:57,464,690-57,464,863+	hsa_ires_00197.1|Homo sapiens (human)|chr12:57,464,690-57,464,863+		Homo sapiens (human)	chr12:57,464,690-57,464,863+	174
hsa_ires_00198.1|Homo sapiens (human)|chr15:78,540,405-78,542,189+	hsa_ires_00198.1|Homo sapiens (human)|chr15:78,540,405-78,542,189+		Homo sapiens (human)	chr15:78,540,405-78,542,189+	174
hsa_ires_00199.1|Homo sapiens (human)|chr10:73,808,389-73,808,562-	hsa_ires_00199.1|Homo sapiens (human)|chr10:73,808,389-73,808,562-		Homo sapiens (human)	chr10:73,808,389-73,808,562-	174
hsa_ires_00200.1|Homo sapiens (human)|chr22:39,901,171-39,947,106+	hsa_ires_00200.1|Homo sapiens (human)|chr22:39,901,171-39,947,106+		Homo sapiens (human)	chr22:39,901,171-39,947,106+	174
hsa_ires_00201.1|Homo sapiens (human)|chr11:73,648,877-73,649,050+	hsa_ires_00201.1|Homo sapiens (human)|chr11:73,648,877-73,649,050+		Homo sapiens (human)	chr11:73,648,877-73,649,050+	174
hsa_ires_00202.1|Homo sapiens (human)|chr17:3,777,620-3,801,243-	hsa_ires_00202.1|Homo sapiens (human)|chr17:3,777,620-3,801,243-		Homo sapiens (human)	chr17:3,777,620-3,801,243-	174
